,id,block_id,industry,landuse,population_availability,workers_availability,employment_share,company_id,departure_time,vehicle_type,tour_purpose,time_of_day,industry_numeric,landuse_numeric,vehicle_purpose,num_stops,stops,geometry
0,0,324,industrial,residential,6.314140933459276,2.8244337474110766,0.8655447605829285,206819075,1900-01-01 15:38:00,1,0,1,0,1,3,5,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.244122321487744 57.97669788826579)
1,1,324,industrial,residential,6.314140933459276,2.8244337474110766,0.8655447605829285,206819075,1900-01-01 10:51:00,2,0,0,0,1,6,2,"[{'purpose': 1}, {'purpose': 2}]",POINT (56.244122321487744 57.97669788826579)
2,2,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 16:28:00,0,1,1,0,3,1,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
3,3,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:14:00,2,0,0,0,3,6,2,"[{'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
4,4,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:42:00,0,0,1,0,3,0,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
5,5,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:07:00,1,0,1,0,3,3,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
6,6,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:20:00,0,1,1,0,3,1,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
7,7,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:38:00,2,0,1,0,3,6,5,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
8,8,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:57:00,1,0,1,0,3,3,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
9,9,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:18:00,1,0,1,0,3,3,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
10,10,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 10:22:00,2,0,0,0,3,6,6,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
11,11,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:10:00,1,0,0,0,3,3,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
12,12,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:10:00,2,0,1,0,3,6,4,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
13,13,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:23:00,1,0,0,0,3,3,5,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
14,14,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 13:52:00,2,0,1,0,3,6,8,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
15,15,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:35:00,0,1,1,0,3,1,7,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
16,16,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 17:39:00,0,2,1,0,3,2,4,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
17,17,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 13:23:00,1,1,1,0,3,4,5,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
18,18,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:02:00,0,2,1,0,3,2,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
19,19,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:21:00,1,0,0,0,3,3,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
