,id,block_id,industry,landuse,population_availability,workers_availability,employment_share,company_id,departure_time,vehicle_type,tour_purpose,time_of_day,industry_numeric,landuse_numeric,vehicle_purpose,geometry,num_stops,stops
0,0,324,industrial,residential,6.314140933459276,2.8244337474110766,0.8655447605829285,206819075,1900-01-01 15:38:00,1,0,1,0,1,3,"MULTIPOLYGON (((56.2434834 57.9768117, 56.2435059 57.9768779, 56.2439352 57.9768049, 56.2439224 57.9767522, 56.2440281 57.976743699999986, 56.2440313 57.9767675, 56.2447106 57.9767454, 56.244701 57.9766418, 56.24423 57.9766452, 56.244214 57.9765398, 56.2438711 57.9765483, 56.2438904 57.9767335, 56.2434834 57.9768117)))",3,"""[{\""purpose\"": 1, \""zone_id\"": 777, \""duration\"": 24, \""time_spent\"": 24.045166666666667}, {\""purpose\"": 1, \""zone_id\"": 322, \""duration\"": 26, \""time_spent\"": 53.59316666666667}, {\""purpose\"": 2, \""zone_id\"": 324, \""duration\"": 26, \""time_spent\"": 82.8175}]"""
1,1,324,industrial,residential,6.314140933459276,2.8244337474110766,0.8655447605829285,206819075,1900-01-01 10:51:00,2,0,0,0,1,6,"MULTIPOLYGON (((56.2434834 57.9768117, 56.2435059 57.9768779, 56.2439352 57.9768049, 56.2439224 57.9767522, 56.2440281 57.976743699999986, 56.2440313 57.9767675, 56.2447106 57.9767454, 56.244701 57.9766418, 56.24423 57.9766452, 56.244214 57.9765398, 56.2438711 57.9765483, 56.2438904 57.9767335, 56.2434834 57.9768117)))",3,"""[{\""purpose\"": 1, \""zone_id\"": 771, \""duration\"": 29, \""time_spent\"": 36.098166666666664}, {\""purpose\"": 1, \""zone_id\"": 205, \""duration\"": 27, \""time_spent\"": 67.80933333333333}, {\""purpose\"": 2, \""zone_id\"": 324, \""duration\"": 11, \""time_spent\"": 91.01299999999999}]"""
2,2,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 16:28:00,0,1,1,0,3,1,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",3,"""[{\""purpose\"": 0, \""zone_id\"": 378, \""duration\"": 14, \""time_spent\"": 17.7265}, {\""purpose\"": 1, \""zone_id\"": 654, \""duration\"": 12, \""time_spent\"": 40.282}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 30, \""time_spent\"": 79.18283333333332}]"""
3,3,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:14:00,2,0,0,0,3,6,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",8,"""[{\""purpose\"": 0, \""zone_id\"": 1883, \""duration\"": 38, \""time_spent\"": 40.17666666666667}, {\""purpose\"": 0, \""zone_id\"": 1683, \""duration\"": 0, \""time_spent\"": 49.211}, {\""purpose\"": 0, \""zone_id\"": 642, \""duration\"": 25, \""time_spent\"": 81.37966666666667}, {\""purpose\"": 0, \""zone_id\"": 581, \""duration\"": 21, \""time_spent\"": 129.017}, {\""purpose\"": 1, \""zone_id\"": 1766, \""duration\"": 15, \""time_spent\"": 175.6086666666667}, {\""purpose\"": 0, \""zone_id\"": 44, \""duration\"": 23, \""time_spent\"": 208.84966666666668}, {\""purpose\"": 1, \""zone_id\"": 1883, \""duration\"": 0, \""time_spent\"": 214.47316666666669}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 18, \""time_spent\"": 233.01550000000003}]"""
4,4,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:42:00,0,0,1,0,3,0,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",7,"""[{\""purpose\"": 0, \""zone_id\"": 1550, \""duration\"": 26, \""time_spent\"": 34.41133333333333}, {\""purpose\"": 1, \""zone_id\"": 379, \""duration\"": 14, \""time_spent\"": 59.196666666666665}, {\""purpose\"": 0, \""zone_id\"": 437, \""duration\"": 19, \""time_spent\"": 88.68}, {\""purpose\"": 1, \""zone_id\"": 2241, \""duration\"": 12, \""time_spent\"": 104.98466666666667}, {\""purpose\"": 0, \""zone_id\"": 2452, \""duration\"": 2, \""time_spent\"": 110.15616666666666}, {\""purpose\"": 0, \""zone_id\"": 119, \""duration\"": 28, \""time_spent\"": 144.91666666666666}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 16, \""time_spent\"": 175.32916666666665}]"""
5,5,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:07:00,1,0,1,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",4,"""[{\""purpose\"": 1, \""zone_id\"": 642, \""duration\"": 31, \""time_spent\"": 39.16266666666667}, {\""purpose\"": 0, \""zone_id\"": 2841, \""duration\"": 21, \""time_spent\"": 67.63116666666666}, {\""purpose\"": 0, \""zone_id\"": 524, \""duration\"": 13, \""time_spent\"": 89.20766666666665}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 6, \""time_spent\"": 104.103}]"""
6,6,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:20:00,0,1,1,0,3,1,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",7,"""[{\""purpose\"": 0, \""zone_id\"": 998, \""duration\"": 17, \""time_spent\"": 35.781000000000006}, {\""purpose\"": 1, \""zone_id\"": 541, \""duration\"": 24, \""time_spent\"": 74.17850000000001}, {\""purpose\"": 1, \""zone_id\"": 85, \""duration\"": 18, \""time_spent\"": 101.16683333333336}, {\""purpose\"": 0, \""zone_id\"": 643, \""duration\"": 24, \""time_spent\"": 126.71500000000003}, {\""purpose\"": 0, \""zone_id\"": 415, \""duration\"": 18, \""time_spent\"": 151.74183333333337}, {\""purpose\"": 0, \""zone_id\"": 460, \""duration\"": 12, \""time_spent\"": 165.36650000000003}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 28, \""time_spent\"": 201.66483333333338}]"""
7,7,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:38:00,2,0,1,0,3,6,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",2,"""[{\""purpose\"": 1, \""zone_id\"": 237, \""duration\"": 12, \""time_spent\"": 25.052166666666665}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 24, \""time_spent\"": 63.563999999999986}]"""
8,8,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:57:00,1,0,1,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",5,"""[{\""purpose\"": 0, \""zone_id\"": 529, \""duration\"": 24, \""time_spent\"": 32.474333333333334}, {\""purpose\"": 1, \""zone_id\"": 651, \""duration\"": 28, \""time_spent\"": 67.2115}, {\""purpose\"": 1, \""zone_id\"": 2241, \""duration\"": 12, \""time_spent\"": 85.42366666666666}, {\""purpose\"": 0, \""zone_id\"": 402, \""duration\"": 38, \""time_spent\"": 131.6205}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 7, \""time_spent\"": 141.67333333333332}]"""
9,9,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:18:00,1,0,1,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",7,"""[{\""purpose\"": 1, \""zone_id\"": 379, \""duration\"": 24, \""time_spent\"": 28.710166666666666}, {\""purpose\"": 0, \""zone_id\"": 89, \""duration\"": 38, \""time_spent\"": 70.791}, {\""purpose\"": 0, \""zone_id\"": 401, \""duration\"": 24, \""time_spent\"": 106.61033333333333}, {\""purpose\"": 0, \""zone_id\"": 843, \""duration\"": 23, \""time_spent\"": 175.39666666666665}, {\""purpose\"": 0, \""zone_id\"": 560, \""duration\"": 19, \""time_spent\"": 230.82499999999993}, {\""purpose\"": 0, \""zone_id\"": 455, \""duration\"": 17, \""time_spent\"": 254.3596666666666}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 3, \""time_spent\"": 266.6336666666666}]"""
